L1_L,L1_E_c,L1_E_v,L1_N_D,L1_N_A,L2_L,L2_E_c,L2_E_v,L2_N_D,L2_N_A,L3_L,L3_E_c,L3_E_v,L3_N_D,L3_N_A,MPP,IntSRHn_mean,simulation_id,extraction_timestamp
3.162277660168379e-08,3.8,6.0,1e+21,2.2360679774997897e+19,2.7999999999999997e-07,3.7,5.6,3.162277660168379e+16,3.162277660168379e+16,4.999999999999999e-08,2.8,5.2,1e+19,4.9999999999999993e+20,40.825751296125,3.703924227796077e+27,sim_0001,2025-09-23T16:24:14.844577
3.162277660168379e-08,3.9,5.9,1e+21,4.999999999999999e+19,2.7999999999999997e-07,3.7,5.6,3.162277660168379e+16,1e+16,4.999999999999999e-08,2.8,5.2,1e+19,4.9999999999999993e+20,117.25447603299999,8.685152381845813e+27,sim_0002,2025-09-23T16:24:15.043255
4.999999999999999e-08,4.0,6.0,7.071067811865475e+20,2.2360679774997897e+19,2.7999999999999997e-07,3.6,5.4,3.162277660168379e+16,3.162277660168379e+16,4.999999999999999e-08,3.2,5.2,2.2360679774997897e+19,4.9999999999999993e+20,181.08867746045,1.5559376971822404e+32,sim_0003,2025-09-23T16:24:15.257905
3.162277660168379e-08,4.0,5.9,1e+21,4.999999999999999e+19,2.7999999999999997e-07,3.8,5.4,1e+17,3.162277660168379e+16,2.0000000000000004e-08,2.8,5.2,1e+19,7.071067811865475e+20,209.5667304342,5.627303479236693e+29,sim_0004,2025-09-23T16:24:15.460378
2.0000000000000004e-08,3.8,6.0,4.9999999999999993e+20,1e+19,2.7999999999999997e-07,3.6,5.4,1e+16,3.162277660168379e+16,3.162277660168379e-08,3.0,5.2,2.2360679774997897e+19,1e+21,17.794928353124998,3.210955779532365e+27,sim_0005,2025-09-23T16:24:15.666813
3.162277660168379e-08,3.8,6.0,7.071067811865475e+20,2.2360679774997897e+19,2.1e-07,3.8,5.6,1e+16,1e+16,4.999999999999999e-08,3.0,5.2,1e+19,1e+21,198.247073034,1.7705102213865715e+28,sim_0006,2025-09-23T16:24:15.855014
2.0000000000000004e-08,3.9,6.0,7.071067811865475e+20,1e+19,2.1e-07,3.6,5.4,1e+17,1e+16,2.0000000000000004e-08,3.0,5.2,1e+19,1e+21,229.15227134999998,1.231666199682113e+28,sim_0007,2025-09-23T16:24:16.061872
3.162277660168379e-08,4.0,5.9,1e+21,2.2360679774997897e+19,2.7999999999999997e-07,3.7,5.6,1e+16,3.162277660168379e+16,2.0000000000000004e-08,2.8,5.2,1e+19,4.9999999999999993e+20,155.02785408,9.399811276845547e+30,sim_0008,2025-09-23T16:24:16.259614
3.162277660168379e-08,3.8,5.9,7.071067811865475e+20,2.2360679774997897e+19,2.7999999999999997e-07,3.7,5.6,1e+17,3.162277660168379e+16,3.162277660168379e-08,3.0,5.2,1e+19,4.9999999999999993e+20,39.047973370250006,3.7058643161156975e+27,sim_0009,2025-09-23T16:24:16.445818
2.0000000000000004e-08,3.9,5.9,1e+21,2.2360679774997897e+19,2.7999999999999997e-07,3.8,5.4,3.162277660168379e+16,3.162277660168379e+16,3.162277660168379e-08,3.0,5.2,1e+19,7.071067811865475e+20,605.76363620125,1.4766370148495576e+28,sim_0010,2025-09-23T16:24:16.626952
2.0000000000000004e-08,3.9,5.8,4.9999999999999993e+20,2.2360679774997897e+19,3.5e-07,3.8,5.5,1e+17,1e+16,4.999999999999999e-08,3.0,5.2,4.999999999999999e+19,7.071067811865475e+20,299.4575080775,9.319791422096298e+27,sim_0011,2025-09-23T16:24:16.810350
