x,V,Evac,Ec,Ev,phin,phip,n,p,ND,NA,anion,cation,ntb,nti,mun,mup,G_ehp,Gfree,Rdir,BulkSRHn,BulkSRHp,IntSRHn,IntSRHp,Jn,Jp,Jint,lid,Vext,left_L,left_eps_r,left_E_c,left_E_v,left_N_c,left_mu_n,left_mu_p,left_N_t_int,left_C_n_int,left_C_p_int,left_E_t_int,right_L,right_eps_r,right_E_c,right_E_v,right_N_c,right_mu_n,right_mu_p,right_N_t_int,right_C_n_int,right_C_p_int,right_E_t_int
0,0.6,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-220.118,2.48171e-14,-220.118,1,-0.05,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,0.253877,0.346123,-3.55388,-5.18388,-3.97105,-4.80627,1.64268e+17,7.78954e+17,0,0,3.8069e+22,1.11206e+08,1.74156e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,1.27957e+18,6.78298e+24,6.78298e+24,3.55099e+23,4.83732e+26,-219.853,-0.265464,-220.118,2,-0.05,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.597372,1.19737,-1.00263,-4.00263,-3.12693,-4.00001,5.1198e-11,9.01966e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.0461789,0,0,0.0191547,4.66329e+25,1.11018,-221.229,-220.118,3,-0.05,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.595,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-220.062,2.65129e-14,-220.062,1,-0.04,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,0.250529,0.344471,-3.55553,-5.18553,-3.97262,-4.80834,1.6482e+17,7.91762e+17,0,0,3.77361e+22,1.43105e+08,1.72301e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,1.30498e+18,6.82106e+24,6.82105e+24,3.51141e+23,4.9171e+26,-219.797,-0.2653,-220.062,2,-0.04,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.592394,1.18739,-1.01261,-4.01261,-3.13644,-4.01001,5.21577e-11,9.02758e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.0470858,0,0,0.0195138,4.75053e+25,1.11015,-221.172,-220.062,3,-0.04,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.59,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-220.004,2.83199e-14,-220.004,1,-0.03,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
2.48823e-08,0.24718,0.34282,-3.55718,-5.18718,-3.97418,-4.8104,1.65404e+17,8.04903e+17,0,0,3.74028e+22,1.96726e+08,1.70466e+20,0,0.0001,0.0001,1.33969e+28,1.33969e+28,1.33134e+18,6.86042e+24,6.86042e+24,3.47071e+23,4.99897e+26,-219.739,-0.26513,-220.004,2,-0.03,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7
5.24966e-07,-0.587416,1.17742,-1.02258,-4.02258,-3.14594,-4.02001,5.31441e-11,9.03551e+25,0,1e+26,0,0,0,0,1e-09,1e-07,0,0,0.0480184,0,0,0.0198828,4.84019e+25,1.11013,-221.114,-220.004,3,-0.03,5e-07,24,3.9,5.53,2.2e+24,0.0001,0.0001,1e+12,2e-14,2e-14,4.7,4e-08,3.3,2.2,5.2,1e+26,1e-09,1e-07,5e+11,2e-14,2e-14,4.7
0,0.585,0,-4,-5.9,-4.05,-4.05,6.99503e+25,1.24248e-05,0,0,0,0,0,0,1e-06,1e-09,0,0,0,0,0,0,0,-219.945,3.02491e-14,-219.945,1,-0.02,0,0,0,0,0,0,0,0,0,0,0,2.5e-08,5,4,5.9,5e+26,1e-06,1e-09,4e+12,2e-14,2e-14,4.7
