Feature,Importance
cation,0.49927060013702007
Rdir,0.4134461427905259
ntb,0.011179021633711138
Jint,0.010257165749708277
Evac,0.009192179171861556
V,0.008795913595236194
phip,0.0070307242852061256
Jn,0.006365887781987212
p,0.0058872661181848295
phin,0.005245728296175635
Ev,0.004823012849650391
n,0.0045162780866019785
anion,0.0039032215621972862
Ec,0.003783882815772532
Vext,0.003315345660319437
Jp,0.0029802871927798024
left_E_c,9.944648424414426e-07
right_N_c,9.70761778860741e-07
right_mu_p,8.168816344575395e-07
left_N_c,7.562645033641983e-07
right_mu_n,7.4434605928391e-07
right_eps_r,6.930618702193203e-07
mup,5.721690195084692e-07
right_L,4.422697316869202e-07
left_E_v,3.985621251746541e-07
mun,3.0967409553613747e-07
left_N_t_int,2.473917307067798e-07
Gfree,2.3255346386132016e-07
G_ehp,1.638722066012817e-07
right_E_v,2.1051628716666984e-58
ND,0.0
NA,0.0
nti,0.0
left_mu_n,0.0
left_eps_r,0.0
left_L,0.0
left_mu_p,0.0
right_E_c,0.0
left_E_t_int,0.0
left_C_n_int,0.0
left_C_p_int,0.0
right_N_t_int,0.0
right_C_n_int,0.0
right_C_p_int,0.0
right_E_t_int,0.0
